全拼	小鹤双拼	自然码	微软双拼	智能ABC	紫光拼音	拼音加加	星空键道	大牛双拼	小浪双拼
chen	if	if	if	ef	aw	ur	jk	ik	im
cheng	ig	ig	ig	eg	at	ut	jh	ij	in
chi	ii	ii	ii	ei	ai	ui	wi	ii	ii
chong	is	is	is	es	ah	uy	wl	il	il
chou	iz	ib	ib	eb	az	up	jt	ir	ir
chu	iu	iu	iu	eu	au	uu	ju	iu	iu
chua	ix	iw	iw	ed	ax	ub	wx	iq	if
chuai	ik	iy	iy	ec	ay	ux	wg	ig	iv
chuan	ir	ir	ir	ep	al	uc	wr	iz	ig
chuang	il	id	id	et	ag	uh	wn	ix	iz
chui	iv	iv	iv	em	an	uv	wy	in	id
chun	iy	ip	ip	en	am	uz	jz	iy	iy
chuo	io	io	io	eo	ao	uo	jo	io	io
ci	ci	ci	ci	ci	ci	ci	ci	ci	ci
cong	cs	cs	cs	cs	ch	cy	cl	cl	cl
cou	cz	cb	cb	cb	cz	cp	ct	cr	cr
cu	cu	cu	cu	cu	cu	cu	cu	cu	cu
cuan	cr	cr	cr	cp	cl	cc	cr	cz	cg
cui	cv	cv	cv	cm	cn	cv	cy	cn	cd
cun	cy	cp	cp	cn	cm	cz	cz	cy	cy
cuo	co	co	co	co	co	co	co	co	co
da	da	da	da	da	da	da	da	da	da
dai	dd	dl	dl	dl	dp	ds	dj	dh	dk
dan	dj	dj	dj	dj	dr	df	dd	dd	dj
dang	dh	dh	dh	dh	ds	dg	df	df	dh
dao	dc	dk	dk	dk	dq	dd	ds	ds	ds
de	de	de	de	de	de	de	de	de	de
dei	dw	dz	dz	dq	dk	dw	dw	dw	dw
den	df	df	df	df	dw	dr	dk	dk	dm
deng	dg	dg	dg	dg	dt	dt	dh	dj	dn
di	di	di	di	di	di	di	di	di	di
dia	dx	dw	dw	dd	dx	db	dx	dk	dk
dian	dm	dm	dm	dw	df	dj	dm	dc	df
diao	dn	dc	dc	dz	db	dk	dp	dm	dc
die	dp	dx	dx	dx	dd	dm	dc	dp	dp
ding	dk	dy	d;	dy	dc	dq	dg	dg	dv
diu	dq	dq	dq	dr	dj	dn	dq	dt	dt
dong	ds	ds	ds	ds	dh	dy	dl	dl	dl
dou	dz	db	db	db	dz	dp	dt	dr	dr
du	du	du	du	du	du	du	du	du	du
duan	dr	dr	dr	dp	dl	dc	dr	dz	dg
dui	dv	dv	dv	dm	dn	dv	dy	dn	dd
dun	dy	dp	dp	dn	dm	dz	dz	dy	dy
duo	do	do	do	do	do	do	do	do	do
fa	fa	fa	fa	fa	fa	fa	fs	fa	fa
fan	fj	fj	fj	fj	fr	ff	ff	fd	fj
fang	fh	fh	fh	fh	fs	fg	fp	ff	fh
fei	fw	fz	fz	fq	fk	fw	fw	fw	fw
fen	ff	ff	ff	ff	fw	fr	fn	fk	fm
feng	fg	fg	fg	fg	ft	ft	fr	fj	fn
fiao	fn	fc	fc	fz	fb	fk	fp	fm	fc
fo	fo	fo	fo	fo	fo	fo	fl	fo	fo
fou	fz	fb	fb	fb	fz	fp	fd	fr	fr
fu	fu	fu	fu	fu	fu	fu	fl	fu	fu
ga	ga	ga	ga	ga	ga	ga	ga	ga	ga
gai	gd	gl	gl	gl	gp	gs	gj	gh	gk
gan	gj	gj	gj	gj	gr	gf	gd	gd	gj
gang	gh	gh	gh	gh	gs	gg	gf	gf	gh
gao	gc	gk	gk	gk	gq	gd	gs	gs	gs
ge	ge	ge	ge	ge	ge	ge	ge	ge	ge
gei	gw	gz	gz	gq	gk	gw	gw	gw	gw
gen	gf	gf	gf	gf	gw	gr	gk	gk	gm
geng	gg	gg	gg	gg	gt	gt	gh	gj	gn
gong	gs	gs	gs	gs	gh	gy	gl	gl	gl
gou	gz	gb	gb	gb	gz	gp	gt	gr	gr
gu	gu	gu	gu	gu	gu	gu	gu	gu	gu
gua	gx	gw	gw	gd	gx	gb	gx	gq	gf
guai	gk	gy	gy	gc	gy	gx	gg	gg	gv
guan	gr	gr	gr	gp	gl	gc	gr	gz	gg
guang	gl	gd	gd	gt	gg	gh	gn	gx	gz
gui	gv	gv	gv	gm	gn	gv	gy	gn	gd
gun	gy	gp	gp	gn	gm	gz	gz	gy	gy
guo	go	go	go	go	go	go	go	go	go
ha	ha	ha	ha	ha	ha	ha	ha	ha	ha
hai	hd	hl	hl	hl	hp	hs	hj	hh	hk
han	hj	hj	hj	hj	hr	hf	hd	hd	hj
hang	hh	hh	hh	hh	hs	hg	hf	hf	hh
hao	hc	hk	hk	hk	hq	hd	hs	hs	hs
he	he	he	he	he	he	he	he	he	he
hei	hw	hz	hz	hq	hk	hw	hw	hw	hw
hen	hf	hf	hf	hf	hw	hr	hk	hk	hm
heng	hg	hg	hg	hg	ht	ht	hh	hj	hn
hong	hs	hs	hs	hs	hh	hy	hl	hl	hl
hou	hz	hb	hb	hb	hz	hp	ht	hr	hr
hu	hu	hu	hu	hu	hu	hu	hu	hu	hu
hua	hx	hw	hw	hd	hx	hb	hx	hq	hf
huai	hk	hy	hy	hc	hy	hx	hg	hg	hv
huan	hr	hr	hr	hp	hl	hc	hr	hz	hg
huang	hl	hd	hd	ht	hg	hh	hn	hx	hz
hui	hv	hv	hv	hm	hn	hv	hy	hn	hd
hun	hy	hp	hp	hn	hm	hz	hz	hy	hy
huo	ho	ho	ho	ho	ho	ho	ho	ho	ho
ji	ji	ji	ji	ji	ji	ji	jk	ji	ji
jia	jx	jw	jw	jd	jx	jb	js	jk	jk
jian	jm	jm	jm	jw	jf	jj	jm	jc	jf
jiang	jl	jd	jd	jt	jg	jh	jn	jn	jm
jiao	jn	jc	jc	jz	jb	jk	jp	jm	jc
jie	jp	jx	jx	jx	jd	jm	jc	jp	jp
jin	jb	jn	jn	jc	jy	jl	jb	jb	jd
jing	jk	jy	j;	jy	jc	jq	jg	jg	jv
jiong	js	js	js	js	jh	jy	jy	jl	jj
jiu	jq	jq	jq	jr	jj	jn	jq	jt	jt
ju	ju	ju	ju	ju	ju	ju	jv	ju	ju
juan	jr	jr	jr	jp	jl	jc	jt	jj	jg
jue	jt	jt	jt	jm	jn	jx	jh	jh	jb
jun	jy	jp	jp	jn	jm	jz	jw	jw	jy
ka	ka	ka	ka	ka	ka	ka	ka	ka	ka
kai	kd	kl	kl	kl	kp	ks	kj	kh	kk
kan	kj	kj	kj	kj	kr	kf	kd	kd	kj
kang	kh	kh	kh	kh	ks	kg	kf	kf	kh
kao	kc	kk	kk	kk	kq	kd	ks	ks	ks
ke	ke	ke	ke	ke	ke	ke	ke	ke	ke
ken	kf	kf	kf	kf	kw	kr	kk	kk	km
keng	kg	kg	kg	kg	kt	kt	kh	kj	kn
kong	ks	ks	ks	ks	kh	ky	kl	kl	kl
kou	kz	kb	kb	kb	kz	kp	kt	kr	kr
ku	ku	ku	ku	ku	ku	ku	ku	ku	ku
kua	kx	kw	kw	kd	kx	kb	kx	kq	kf
kuai	kk	ky	ky	kc	ky	kx	kg	kg	kv
kuan	kr	kr	kr	kp	kl	kc	kr	kz	kg
kuang	kl	kd	kd	kt	kg	kh	kn	kx	kz
kui	kv	kv	kv	km	kn	kv	ky	kn	kd
kun	ky	kp	kp	kn	km	kz	kz	ky	ky
kuo	ko	ko	ko	ko	ko	ko	ko	ko	ko
la	la	la	la	la	la	la	la	la	la
lai	ld	ll	ll	ll	lp	ls	lj	lh	lk
lan	lj	lj	lj	lj	lr	lf	ld	ld	lj
lang	lh	lh	lh	lh	ls	lg	lf	lf	lh
lao	lc	lk	lk	lk	lq	ld	ls	ls	ls
le	le	le	le	le	le	le	le	le	le
lei	lw	lz	lz	lq	lk	lw	lw	lw	lw
leng	lg	lg	lg	lg	lt	lt	lh	lj	ln
li	li	li	li	li	li	li	li	li	li
lia	lx	lw	lw	ld	lx	lb	lx	lk	lk
lian	lm	lm	lm	lw	lf	lj	lm	lc	lf
liang	ll	ld	ld	lt	lg	lh	ln	ln	lm
liao	ln	lc	lc	lz	lb	lk	lp	lm	lc
lie	lp	lx	lx	lx	ld	lm	lc	lp	lp
lin	lb	ln	ln	lc	ly	ll	lb	lb	ld
ling	lk	ly	l;	ly	lc	lq	lg	lg	lv
liu	lq	lq	lq	lr	lj	ln	lq	lt	lt
lo	lo	lo	lo	lo	lo	lo	ll	lo	lo
long	ls	ls	ls	ls	lh	ly	ll	ll	ll
lou	lz	lb	lb	lb	lz	lp	lt	lr	lr
lu	lu	lu	lu	lu	lu	lu	lu	lu	lu
luan	lr	lr	lr	lp	ll	lc	lr	lz	lg
lun	ly	lp	lp	ln	lm	lz	lz	ly	ly
luo	lo	lo	lo	lo	lo	lo	lo	lo	lo
ma	ma	ma	ma	ma	ma	ma	ma	ma	ma
mai	md	ml	ml	ml	mp	ms	mj	mh	mk
man	mj	mj	mj	mj	mr	mf	md	md	mj
mang	mh	mh	mh	mh	ms	mg	mf	mf	mh
mao	mc	mk	mk	mk	mq	md	ms	ms	ms
me	me	me	me	me	me	me	me	me	me
mei	mw	mz	mz	mq	mk	mw	mw	mw	mw
men	mf	mf	mf	mf	mw	mr	mk	mk	mm
meng	mg	mg	mg	mg	mt	mt	mh	mj	mn
mi	mi	mi	mi	mi	mi	mi	mi	mi	mi
mian	mm	mm	mm	mw	mf	mj	mm	mc	mf
miao	mn	mc	mc	mz	mb	mk	mp	mm	mc
mie	mp	mx	mx	mx	md	mm	mc	mp	mp
min	mb	mn	mn	mc	my	ml	mb	mb	md
ming	mk	my	m;	my	mc	mq	mg	mg	mv
miu	mq	mq	mq	mr	mj	mn	mq	mt	mt
mo	mo	mo	mo	mo	mo	mo	mo	mo	mo
mou	mz	mb	mb	mb	mz	mp	mt	mr	mr
mu	mu	mu	mu	mu	mu	mu	mu	mu	mu
na	na	na	na	na	na	na	na	na	na
nai	nd	nl	nl	nl	np	ns	nj	nh	nk
nan	nj	nj	nj	nj	nr	nf	nd	nd	nj
nang	nh	nh	nh	nh	ns	ng	nf	nf	nh
nao	nc	nk	nk	nk	nq	nd	ns	ns	ns
ne	ne	ne	ne	ne	ne	ne	ne	ne	ne
nei	nw	nz	nz	nq	nk	nw	nw	nw	nw
nen	nf	nf	nf	nf	nw	nr	nk	nk	nm
neng	ng	ng	ng	ng	nt	nt	nh	nj	nn
ni	ni	ni	ni	ni	ni	ni	ni	ni	ni
nian	nm	nm	nm	nw	nf	nj	nm	nc	nf
niang	nl	nd	nd	nt	ng	nh	nn	nn	nm
niao	nn	nc	nc	nz	nb	nk	np	nm	nc
nie	np	nx	nx	nx	nd	nm	nc	np	np
nin	nb	nn	nn	nc	ny	nl	nb	nb	nd
ning	nk	ny	n;	ny	nc	nq	ng	ng	nv
niu	nq	nq	nq	nr	nj	nn	nq	nt	nt
nong	ns	ns	ns	ns	nh	ny	nl	nl	nl
nou	nz	nb	nb	nb	nz	np	nt	nr	nr
nu	nu	nu	nu	nu	nu	nu	nu	nu	nu
nuan	nr	nr	nr	np	nl	nc	nr	nz	ng
nun	ny	np	np	nn	nm	nz	nz	ny	ny
nuo	no	no	no	no	no	no	no	no	no
pa	pa	pa	pa	pa	pa	pa	pa	pa	pa
pai	pd	pl	pl	pl	pp	ps	pj	ph	pk
pan	pj	pj	pj	pj	pr	pf	pd	pd	pj
pang	ph	ph	ph	ph	ps	pg	pf	pf	ph
pao	pc	pk	pk	pk	pq	pd	ps	ps	ps
pei	pw	pz	pz	pq	pk	pw	pw	pw	pw
pen	pf	pf	pf	pf	pw	pr	pk	pk	pm
peng	pg	pg	pg	pg	pt	pt	ph	pj	pn
pi	pi	pi	pi	pi	pi	pi	pi	pi	pi
pian	pm	pm	pm	pw	pf	pj	pm	pc	pf
piao	pn	pc	pc	pz	pb	pk	pp	pm	pc
pie	pp	px	px	px	pd	pm	pc	pp	pp
pin	pb	pn	pn	pc	py	pl	pb	pb	pd
ping	pk	py	p;	py	pc	pq	pg	pg	pv
po	po	po	po	po	po	po	po	po	po
pou	pz	pb	pb	pb	pz	pp	pt	pr	pr
pu	pu	pu	pu	pu	pu	pu	pu	pu	pu
qi	qi	qi	qi	qi	qi	qi	qk	qi	qi
qia	qx	qw	qw	qd	qx	qb	qs	qk	qk
qian	qm	qm	qm	qw	qf	qj	qm	qc	qf
qiang	ql	qd	qd	qt	qg	qh	qx	qn	qm
qiao	qn	qc	qc	qz	qb	qk	qp	qm	qc
qie	qp	qx	qx	qx	qd	qm	qc	qp	qp
qin	qb	qn	qn	qc	qy	ql	qb	qb	qd
qing	qk	qy	q;	qy	qc	qq	qg	qg	qv
qiong	qs	qs	qs	qs	qh	qy	qy	ql	qj
qiu	qq	qq	qq	qr	qj	qn	qq	qt	qt
qu	qu	qu	qu	qu	qu	qu	qv	qu	qu
quan	qr	qr	qr	qp	ql	qc	qt	qj	qg
que	qt	qt	qt	qm	qn	qx	qh	qh	qb
qun	qy	qp	qp	qn	qm	qz	qw	qw	qy
ran	rj	rj	rj	rj	rr	rf	rd	rd	rj
rang	rh	rh	rh	rh	rs	rg	rf	rf	rh
rao	rc	rk	rk	rk	rq	rd	rs	rs	rs
re	re	re	re	re	re	re	re	re	re
ren	rf	rf	rf	rf	rw	rr	rk	rk	rm
reng	rg	rg	rg	rg	rt	rt	rh	rj	rn
ri	ri	ri	ri	ri	ri	ri	ri	ri	ri
rong	rs	rs	rs	rs	rh	ry	rl	rl	rl
rou	rz	rb	rb	rb	rz	rp	rt	rr	rr
ru	ru	ru	ru	ru	ru	ru	ru	ru	ru
rua	rx	rw	rw	rd	rx	rb	rx	rq	rf
ruan	rr	rr	rr	rp	rl	rc	rr	rz	rg
rui	rv	rv	rv	rm	rn	rv	ry	rn	rd
run	ry	rp	rp	rn	rm	rz	rz	ry	ry
ruo	ro	ro	ro	ro	ro	ro	ro	ro	ro
sa	sa	sa	sa	sa	sa	sa	sa	sa	sa
sai	sd	sl	sl	sl	sp	ss	sj	sh	sk
san	sj	sj	sj	sj	sr	sf	sd	sd	sj
sang	sh	sh	sh	sh	ss	sg	sf	sf	sh
sao	sc	sk	sk	sk	sq	sd	ss	ss	ss
se	se	se	se	se	se	se	se	se	se
sen	sf	sf	sf	sf	sw	sr	sk	sk	sm
seng	sg	sg	sg	sg	st	st	sh	sj	sn
sha	ua	ua	ua	va	ia	ia	ea	ua	va
shai	ud	ul	ul	vl	ip	is	ej	uh	vk
shan	uj	uj	uj	vj	ir	if	ed	ud	vj
shang	uh	uh	uh	vh	is	ig	ef	uf	vh
shao	uc	uk	uk	vk	iq	id	es	us	vs
she	ue	ue	ue	ve	ie	ie	ee	ue	ve
shei	uw	uz	uz	vq	ik	iw	ew	uw	vw
shen	uf	uf	uf	vf	iw	ir	ek	uk	vm
sheng	ug	ug	ug	vg	it	it	eh	uj	vn
shi	ui	ui	ui	vi	ii	ii	ei	ui	vi
shou	uz	ub	ub	vb	iz	ip	et	ur	vr
shu	uu	uu	uu	vu	iu	iu	eu	uu	vu
shua	ux	uw	uw	vd	ix	ib	ex	uq	vf
shuai	uk	uy	uy	vc	iy	ix	eg	ug	vv
shuan	ur	ur	ur	vp	il	ic	er	uz	vg
shuang	ul	ud	ud	vt	ig	ih	en	ux	vz
shui	uv	uv	uv	vm	in	iv	ey	un	vd
shun	uy	up	up	vn	im	iz	ez	uy	vy
shuo	uo	uo	uo	vo	io	io	eo	uo	vo
si	si	si	si	si	si	si	si	si	si
song	ss	ss	ss	ss	sh	sy	sl	sl	sl
sou	sz	sb	sb	sb	sz	sp	st	sr	sr
su	su	su	su	su	su	su	su	su	su
suan	sr	sr	sr	sp	sl	sc	sr	sz	sg
sui	sv	sv	sv	sm	sn	sv	sy	sn	sd
sun	sy	sp	sp	sn	sm	sz	sz	sy	sy
suo	so	so	so	so	so	so	so	so	so
ta	ta	ta	ta	ta	ta	ta	ta	ta	ta
tai	td	tl	tl	tl	tp	ts	tj	th	tk
tan	tj	tj	tj	tj	tr	tf	td	td	tj
tang	th	th	th	th	ts	tg	tf	tf	th
tao	tc	tk	tk	tk	tq	td	ts	ts	ts
te	te	te	te	te	te	te	te	te	te
tei	tw	tz	tz	tq	tk	tw	tw	tw	tw
teng	tg	tg	tg	tg	tt	tt	th	tj	tn
ti	ti	ti	ti	ti	ti	ti	ti	ti	ti
tian	tm	tm	tm	tw	tf	tj	tm	tc	tf
tiao	tn	tc	tc	tz	tb	tk	tp	tm	tc
tie	tp	tx	tx	tx	td	tm	tc	tp	tp
ting	tk	ty	t;	ty	tc	tq	tg	tg	tv
tong	ts	ts	ts	ts	th	ty	tl	tl	tl
tou	tz	tb	tb	tb	tz	tp	tt	tr	tr
tu	tu	tu	tu	tu	tu	tu	tu	tu	tu
tuan	tr	tr	tr	tp	tl	tc	tr	tz	tg
tui	tv	tv	tv	tm	tn	tv	ty	tn	td
tun	ty	tp	tp	tn	tm	tz	tz	ty	ty
tuo	to	to	to	to	to	to	to	to	to
xi	xi	xi	xi	xi	xi	xi	xi	xi	xi
xia	xx	xw	xw	xd	xx	xb	xx	xk	xk
xian	xm	xm	xm	xw	xf	xj	xm	xc	xf
xiang	xl	xd	xd	xt	xg	xh	xn	xn	xm
xiao	xn	xc	xc	xz	xb	xk	xp	xm	xc
xie	xp	xx	xx	xx	xd	xm	xc	xp	xp
xin	xb	xn	xn	xc	xy	xl	xb	xb	xd
xing	xk	xy	x;	xy	xc	xq	xg	xg	xv
xiong	xs	xs	xs	xs	xh	xy	xl	xl	xj
xiu	xq	xq	xq	xr	xj	xn	xq	xt	xt
xu	xu	xu	xu	xu	xu	xu	xv	xu	xu
xuan	xr	xr	xr	xp	xl	xc	xr	xj	xg
xue	xt	xt	xt	xm	xn	xx	xy	xh	xb
xun	xy	xp	xp	xn	xm	xz	xw	xw	xy
za	za	za	za	za	za	za	za	za	za
zai	zd	zl	zl	zl	zp	zs	zj	zh	zk
zan	zj	zj	zj	zj	zr	zf	zd	zd	zj
zang	zh	zh	zh	zh	zs	zg	zf	zf	zh
zao	zc	zk	zk	zk	zq	zd	zs	zs	zs
ze	ze	ze	ze	ze	ze	ze	ze	ze	ze
zei	zw	zz	zz	zq	zk	zw	zw	zw	zw
zen	zf	zf	zf	zf	zw	zr	zk	zk	zm
zeng	zg	zg	zg	zg	zt	zt	zh	zj	zn
zha	va	va	va	aa	ua	va	qa	aa	ea
zhai	vd	vl	vl	al	up	vs	fj	ah	ek
zhan	vj	vj	vj	aj	ur	vf	qd	ad	ej
zhang	vh	vh	vh	ah	us	vg	qf	af	eh
zhao	vc	vk	vk	ak	uq	vd	fs	as	es
zhe	ve	ve	ve	ae	ue	ve	fe	ae	ee
zhen	vf	vf	vf	af	uw	vr	qk	ak	em
zheng	vg	vg	vg	ag	ut	vt	qh	aj	en
zhi	vi	vi	vi	ai	ui	vi	fi	ai	ei
zhong	vs	vs	vs	as	uh	vy	fy	al	el
zhou	vz	vb	vb	ab	uz	vp	qt	ar	er
zhu	vu	vu	vu	au	uu	vu	qu	au	eu
zhua	vx	vw	vw	ad	ux	vb	fx	aq	ef
zhuai	vk	vy	vy	ac	uy	vx	fg	ag	ev
zhuan	vr	vr	vr	ap	ul	vc	fr	az	eg
zhuang	vl	vd	vd	at	ug	vh	fn	ax	ez
zhui	vv	vv	vv	am	un	vv	fy	an	ed
zhun	vy	vp	vp	an	um	vz	fz	ay	ey
zhuo	vo	vo	vo	ao	uo	vo	qo	ao	eo
zi	zi	zi	zi	zi	zi	zi	zi	zi	zi
zong	zs	zs	zs	zs	zh	zy	zl	zl	zl
zou	zz	zb	zb	zb	zz	zp	zt	zr	zr
zu	zu	zu	zu	zu	zu	zu	zu	zu	zu
zuan	zr	zr	zr	zp	zl	zc	zr	zz	zg
zui	zv	zv	zv	zm	zn	zv	zy	zn	zd
zun	zy	zp	zp	zn	zm	zz	zz	zy	zy
zuo	zo	zo	zo	zo	zo	zo	zo	zo	zo
