'zeng'yi 曾毅
'zang'zu 藏族
'zhan'bu 占卜
'gui'su 归宿
'lou'mian 露面
'liao'shi 了事
'qian'kun 乾坤
'xing'xiao 行销
'guo'chang 过长
'cha'jue 察觉
'xing'zhe 行者
'fu'zhuo 附着
'hang'xing 航行
'tan'li 弹力
'qian'long 乾隆
'pa'xing 爬行
'chong'die 重叠
'shen'zhuo 身着
'feng'xing 奉行
'ge'diao 格调
'ke'wu 可恶
'chong'yang 重阳
'chong'su 重塑
'chong'zhen 重振
'dei'kuai 得快
'chen'zhuo 沉着
'diao'ru 调入
'jiao'xing 侥幸
'diao'huan 调换
'zui'xing 罪行
'zhi'jue 直觉
'chang'chu 长处
'du'xing 独行
'zong'dei 总得
'xing'hui 行贿
'zi'zhuan 自传
'bao'zang 宝藏
'sui'xing 随行
'zu'se 阻塞
'jue'xing 觉醒
'chen'zhi 称职
'yue'chang 越长
'chong'yan 重演
'xing'ma 行吗
'ci'xing 此行
'gao'diao 高调
'ting'jue 听觉
'zhuo'se 着色
'fei'dei 非得
'dei'yao 得要
'jing'jue 警觉
'chang'ming 长鸣
'ni'dei 你得
'zhuo'lu 着陆
'tu'xie 吐血
'diao'bo 调拨
'xing'jin 行进
'chang'xian 长线
'ta'dei 他得
'liao'de 了得
'liao'que 了却
'bo'he 薄荷
'fa'mo 罚没
'xiang'chen 相称
'shen'chang 深长
'chang'pao 长跑
'hao'chang 好长
'xing'a 行啊
'chong'lai 重来
'xing'pian 行骗
'chang'long 长龙
'pei'jue 配角
'ji'diao 基调
'diao'chu 调出
'zhuo'luo 着落
'chu'jue 触觉
'chong'bo 重播
'jue'jiang 倔强
'diao'li 调离
'bo'chang 波长
'pin'xing 品行
'chen'xin 称心
'song'xing 送行
'chang'mao 长毛
'la'chang 拉长
'chang'ku 长裤
'dan'xing 单行
'chong'xiu 重修
'xing'yi 行医
'xing'shi 行使
'xing'jiang 行将
'zhao'xi 朝夕
'meng'de 猛地
'xing'wen 行文
'su'ming 宿命
'dei'ren 得人
'nuan'huo 暖和
'xi'chang 细长
'geng'ye 哽咽
'chuan'xing 穿行
'zhao'huo 着火
'chang'qun 长裙
'dong'tan 动弹
'chang'sheng 长生
'mo'luo 没落
'xiu'jue 嗅觉
'tu'zhu 土著
'diao'ji 调集
'zhao'mi 着迷
'xing'zong 行踪
'zhong'liao 终了
'huan'jue 幻觉
'xing'le 行了
'pang'bo 磅礴
'neng'xing 能行
'xiu'chang 修长
'chong'zhuang 重装
'yu'diao 语调
'wei'liao 未了
'diao'yun 调运
'dou'xing 都行
'juan'yang 圈养
'bi'se 闭塞
'bi'se 鼻塞
'cuo'jue 错觉
'geng'se 梗塞
'jue'cha 觉察
'chang'kong 长空
'chuo'hao 绰号
'chang'ye 长夜
'xing'shu 行署
'chang'tiao 长条
'sheng'diao 声调
'yun'chen 匀称
'jin'zhao 今朝
'ni'nan 呢喃
'xing'nang 行囊
'xiu'xing 修行
'chong'wei 重围
'chong'xie 重写
'xing'jun 行军
'diao'ren 调任
'xing'xiong 行凶
'chong'zheng 重整
'qian'bo 浅薄
'chong'fa 重发
'xi'bo 稀薄
'tan'tiao 弹跳
'bao'xing 暴行
'ze'she 咋舌
'lou'lian 露脸
'zai'xing 再行
'wei'jue 味觉
'lin'xing 临行
'zheng'zhuan 正传
'chong'he 重合
'wei'jie 慰藉
'hua'xing 滑行
'ke'bo 刻薄
'lie'zhuan 列传
'liao'duan 了断
'chang'xin 长信
'lun'diao 论调
'liao'ran 了然
'bi'bang 臂膀
'zang'ao 藏獒
'tan'zou 弹奏
'yin'diao 音调
'tun'mo 吞没
'chong'ti 重提
'mai'mo 埋没
'chang'qiang 长枪
'tang'se 搪塞
'xian'jue 先觉
'xiao'diao 小调
'diao'zi 调子
'chang'tui 长腿
'zhe'dei 这得
'kong'tong 崆峒
'chong'huo 重获
'bian'chang 变长
'ma'bu 抹布
'chang'cun 长存
'xing'tou 行头
'rao'xing 绕行
'chong'she 重设
'chong'du 重读
'di'qiao 地壳
'mo'liao 末了
'mo'ru 没入
'ni'xing 逆行
'tang'chi 汤匙
'dai'xing 代行
'chai'shi 差事
'chang'juan 长卷
'diao'hui 调回
'lu'su 露宿
'cheng'man 盛满
'xie'chi 挟持
'dun'jue 顿觉
'gong'chai 公差
'zhu'juan 猪圈
'xing'gong 行宫
'hou'bo 厚薄
'chang'jie 长街
'chang'shan 长衫
'xing'ba 行吧
'mian'chang 绵长
'zhou'chang 周长
'qu'qiao 躯壳
'chong'fang 重放
'xing'shan 行善
'diao'dao 调到
'xue'po 血泊
'diao'yue 调阅
'diao'zhuan 调转
'xing'qie 行窃
'tan'he 弹劾
'chang'hua 长话
'xiao'zhuan 小传
'bang'zi 膀子
'chang'xue 长靴
'tan'chang 弹唱
'yu'se 语塞
'shao'chang 稍长
'diao'qu 调取
'diao'bing 调兵
'zeng'sun 曾孙
'chong'hun 重婚
'chan'huo 掺和
'pa'shou 扒手
'you'chai 邮差
'diao'qian 调遣
'yin'mo 隐没
'lou'tou 露头
'guo'fu 果脯
'bo'ming 薄命
'fan'pa 反扒
'diao'dang 调档
'lou'xian 露馅
'tuo'qiao 脱壳
'su'ying 宿营
'qin'chai 钦差
'zhuan'lue 传略
'zang'wen 藏文
'tan'she 弹射
'jiao'chai 交差
'chong'ju 重聚
'shao'zhao 烧着
'lei'jin 勒紧
'zhuang'xing 壮行
'kuo'chuo 阔绰
'ne'zha 哪吒
'nei'zhuan 内传
'ming'su 名宿
'yong'se 拥塞
'ce'duo 测度
'mian'bo 绵薄
'chou'jue 丑角
'xing'ci 行刺
'chai'ren 差人
'dui'diao 对调
'zhao'mo 着魔
'chong'chang 重唱
'lao'diao 老调
'ge'bei 胳臂
'pa'qie 扒窃
'zeng'wu 憎恶
'pian'zhou 扁舟
'xing'kai 行楷
'xing'chuan 行船
'chong'se 充塞
'bian'diao 变调
'jie'su 借宿
'ku'chai 苦差
'chang'bing 长柄
'luan'tan 乱弹
'cao'xing 操行
'su'zui 宿醉
'ming'jue 名角
'zhu'wen 著文
'xin'chai 信差
'xing'zhou 行舟
'wai'diao 外调
'xin'zhuan 新传
'jin'mo 浸没
'bo'qing 薄情
'dang'chai 当差
'zhao'xia 朝霞
'chou'xing 丑行
'yang'juan 羊圈
'ao'kou 拗口
'bie'zhuan 别传
'zhuo'bi 着笔
'dei'kong 得空
'gou'chang 够长
'tong'jue 痛觉
'tao'shai 套色
'chuai'duo 揣度
'xiao'zeng 小曾
'chang'ju 长句
'zheng'diao 征调
'ruan'huo 软和
'xing'la 行啦
'mo'ding 没顶
'zeng'zu 曾祖
'niao'nuo 袅娜
'zha'hu 咋呼
'xing'cang 行藏
'zhao'mang 着忙
'cai'duo 猜度
'cheng'fan 盛饭
'gui'xiang 归降
'lou'fu 露富
'chong'ma 重码
'diao'zhi 调职
'yan'chang 延长
'xing'jing 行径
'chang'ci 长词
'chang'le 长了
'di'jie 的姐
'da'di 打的
'di'shi 的士
'diao'bao 调包
'hao'wu 好恶
'feng'xing 风行
'lou'di 露底
'lou'chou 露丑
'lou'chu 露出
'liu'su 留宿
'qiang'diao 腔调
'xing'shi 行驶
'zeng'chang 增长
'mian'di 面的
'lv'xing 旅行
'tong'xing 同行
'chang'pian 长篇
'xing'shi 行事
'zhi'zhuo 执着
'xian'xing 先行
'di'fang 提防
'tou'xiang 投降
'zhuan'ji 传记
'bu'xing 步行
'chang'jia 长假
'wu'xing 五行
'you'xing 游行
'pian'chang 片长
'yuan'zhu 原著
'chen'mo 沉没
'xing'xing 行星
'chong'feng 重逢
'chang'jian 长剑
'zhao'le 着了
'xing'li 行礼
'si'liao 私了
'shi'xing 施行
'xue'jia 雪茄
'dan'bo 单薄
'yuan'xing 远行
'yi'zhao 一朝
'ming'zhu 名著
'chu'mo 出没
'xing'zhi 行至
'ni'chang 霓裳
'chang'chang 长长
'chang'nian 长年
'zhi'liao 知了
'tan'qin 弹琴
'fang'xing 放行
'de'xing 德行
'jia'chang 加长
'zang'du 藏独
'zhuan'zhu 专著
'cheng'xing 成行
'yao'xie 要挟
'shi'su 食宿
'diao'zhi 调至
'shi'xing 试行
'zhi'jue 知觉
'li'xing 例行
'you'shui 游说
'wei'bu 未卜
'qu'diao 曲调
'xing'bu 行不
'wei'bo 微薄
'chang'pao 长袍
'you'chang 悠长
'liao'jie 了结
'shi'jin 什锦
'dan'bo 淡薄
'chang'he 长河
'xing'fang 行房
'quan'chang 全长
'shen'chang 身长
'chan'yu 单于
'zhuan'chang 专长
'ju'zhu 巨著
'wu'ye 呜咽
'bu'diao 步调
'chang'tan 长叹
'su'di 宿敌
'e'xing 恶行
'xing'xing 行刑
'chang'xiao 长啸
'zhuo'zhu 卓著
'jiao'huo 搅和
'kou'jue 口角
'chang'mao 长矛
'ye'xing 夜行
'xing'lu 行路
'bing'xi 屏息
'zong'chang 总长
'qing'jia 亲家
'chang'mian 长眠
'ji'su 寄宿
'di'lu 的卢
'jiao'zhuo 胶着
'bo'wu 薄雾
'chang'tan 长谈
'xing'shu 行书
'chang'gong 长工
'duo'xing 多行
'zong'jue 总觉
'yan'mo 湮没
'rong'chang 冗长
'heng'xing 横行
'xing'se 行色
'shai'zi 色子
'jing'jue 惊觉
'zai'chang 再长
'xiang'long 降龙
'zhao'liang 着凉
'chang'ming 长命
'xia'chang 狭长
'shan'xing 善行
'shou'chang 瘦长
'chong'zhi 重置
'xing'zhuang 行装
'xiang'fu 降服
'chong'shu 重述
'chang'lian 长脸
'tan'qi 弹起
'jian'xing 饯行
'ya'si 轧死
'zhu'shu 著书
'chong'shen 重审
'xing'qi 行乞
'xiang'fu 降伏
'zhuo'yi 着意
'hou'zhuan 后传
'pao'diao 跑调
'huan'xing 缓行
'zhao'lu 朝露
'zhen'xing 真行
'nv'gong 女红
'chang'xiang 长项
'you'dei 又得
'jie'diao 借调
'xian'chang 纤长
'zheng'zhao 正着
'qing'ya 倾轧
'shen'chang 伸长
'lei'si 勒死
'bian'chang 边长
'feng'shan 封禅
'xing'zhi 行止
'chong'zuo 重做
'chai'qian 差遣
'quan'xiang 劝降
'gong'liao 公了
'shan'rang 禅让
'chang'zu 长足
'xiang'mo 降魔
'chai'shi 差使
'ping'tan 评弹
'ji'shu 奇数
'tou'su 投宿
'bu'zhao 不着
'zhuo'mo 着墨
'zou'diao 走调
'chong'ming 重名
'diao'ling 调令
'e'nuo 婀娜
'ti'chang 体长
'guan'chai 官差
'xing'lv 行旅
'ci'xing 辞行
'shu'bai 叔伯
'qian'fu 纤夫
'bao'bing 刨冰
'diao'pai 调派
'chang'deng 长凳
'shou'chang 手长
'lou'qie 露怯
'yi'chi 一匙
'su'jiang 宿将
'bo'mu 薄暮
'yi'zhu 译著
'bo'xing 薄幸
'fan'diao 反调
'jiu'chang 久长
'zhu'zhe 著者
'chang'ying 长缨
'chong'yang 重洋
'yu'xing 欲行
'tan'tan 弹弹
'zhen'chang 真长
'mei'chai 美差
'zha'xiang 诈降
'chang'wa 长袜
'xiang'jiang 降将
'ming'bo 命薄
'yu'qing 吁请
'shou'xing 兽行
'zhu'lu 著录
'bi'bo 鄙薄
'bing'qi 屏气
'suo'wu 所恶
'huan'xing 环行
'jia'qiao 甲壳
'she'xing 蛇行
'su'yuan 宿怨
'zun'xing 遵行
'ru'mo 辱没
'dan'jue 旦角
'tian'se 填塞
'mao'ni 毛呢
'chong'pai 重排
'chang'fang 长方
'xing'jing 行经
'lao'piao 老朴
'fei'bo 菲薄
'xin'zhu 新著
'ji'chang 极长
'chong'hui 重会
'chang'sheng 长声
'xie'shu 解数
'liao'zhang 了账
'shi'zhao 失着
'qi'chang 颀长
'zhuo'zhu 拙著
'chang'yu 长于
'zhi'jue 只觉
'chang'dao 长刀
'gai'zhao 该着
'yu'se 淤塞
'zuo'zhuan 左传
'diao'men 调门
'cun'duo 忖度
'chang'quan 长拳
'bo'li 薄利
'qing'diao 请调
'qi'shou 稽首
'kuan'chuo 宽绰
'chang'gun 长棍
'la'qian 拉纤
'wen'bu 问卜
'xing'yuan 行辕
'xie'zhi 挟制
'ma'lian 抹脸
'piao'su 嫖宿
'bo'mian 薄面
'tan'ya 弹压
'bo'jiu 薄酒
'chong'sun 重孙
'you'ye 幽咽
'wei'ao 违拗
'chong'ban 重版
'zang'bao 藏胞
'he'zhu 合著
'guo'xie 裹挟
'chong'lian 重连
'chang'hao 长嚎
'se'jue 色觉
'ji'bo 瘠薄
'zhao'huang 着慌
'shui'ke 说客
'yong'se 壅塞
'bao'hua 刨花
'chang'kao 长考
'you'xiang 诱降
'bo'li 薄礼
'yu'bu 预卜
'zi'chang 字长
'zeng'gong 曾巩
'zhong'di 中的
'tan'ci 弹词
'de'shuo 地说
'chong'xiao 重霄
'dian'zhao 点着
'chao'mo 抄没
'ma'chang 码长
'sui'pao 尿泡
'bang'bi 膀臂
'chong'shi 重试
'su'chou 宿仇
'wo'dei 我得
'shuan'se 栓塞
'yun'diao 韵调
'pa'hui 扒灰
'xing'zeng 姓曾
'xing'bu 姓卜
'xing'shan 姓单
'xing'xie 姓解
'xing'piao 姓朴
'po'dao 朴刀
'bo'zang 薄葬
'jian'chang 见长
'su'chang 宿娼
'xie'su 歇宿
'xia'zhao 吓着
'su'ru 宿儒
'yi'bu 医卜
'hui'xing 秽行
'xian'mo 陷没
'ao'duan 拗断
'jiao'wu 交恶
'han'diao 函调
'chang'zai 长在
'ci'chang 词长
'mai'xie 卖解
'zan'zhi 拶指
'tian'chang 天长
'liao'liao 了了
'zhao'yang 朝阳
'lou'zhe 露着
'cuan'ji 攒机
'ke'dei 可得
'ka'xue 咯血
'bu'shi 布什
'lao'zeng 老曾
'xiao'piao 小朴
'yan'xie 验血
'bu'de'liao 不得了
'bu'ting'de 不停地
'chang'shi'jian 长时间
'shen'zhou'xing 神州行
'sui'yi'de 随意地
'zhe'me'chang 这么长
'bu'duan'de 不断地
'liao'bu'qi 了不起
'man'man'de 慢慢地
'ren'wo'xing 任我行
'chai'lv'fei 差旅费
'liao'bu'de 了不得
'chang'tou'fa 长头发
'chuan'xing'kou 串行口
'er'chong'zou 二重奏
'chang'san'jiao 长三角
'shen'qing'de 深情地
'jian'jian'de 渐渐地
'xiang'dang'chang 相当长
'wan'zheng'de 完整地
'guo'zao'de 过早地
'jin'zhang'de 紧张地
'chang'bai'shan 长白山
'chang'zhi'shi 长治市
'qing'xing'de 清醒地
'jing'jing'de 静静地
'ren'xing'dao 人行道
'zhen'cheng'de 真诚地
'xiang'xi'de 详细地
'chang'ju'li 长距离
'chang'shi'qi 长时期
'shui'hu'zhuan 水浒传
'xie'lin'lin 血淋淋
'shou'de'liao 受得了
'xing'dao'shu 行道树
'chong'ming'ming 重命名
'zeng'zhi'wei 曾志伟
'jin'shen'de 谨慎地
'chang'hen'ge 长恨歌
'shi'ye'pai 什叶派
'chang'jing'lu 长颈鹿
'zeng'guo'fan 曾国藩
'tan'gang'qin 弹钢琴
'pai'ji'pao 迫击炮
'jue'dou'shi 角斗士
'xing'de'tong 行得通
'yi'chang'chuan 一长串
'suan'de'liao 算得了
'si'chong'zou 四重奏
'ku'xing'seng 苦行僧
'chang'le'shi 长乐市
'chang'jing'tou 长镜头
'san'chong'zou 三重奏
'xing'bi'guo 行必果
'tang'san'zang 唐三藏
'chang'ming'deng 长明灯
'liang'chong'xing 两重性
'chang'bi'yuan 长臂猿
'chang'wei'ba 长尾巴
'ge'lao'zu 仡佬族
'li'ren'xing 丽人行
'lou'ma'jiao 露马脚
'lao'shi'zi 劳什子
'ji'bu'sai 吉卜赛
'duan'ge'xing 短歌行
'jian'dan'de 简单地
'gou'de'zhao 够得着
'chang'tong'wa 长筒袜
'zha'liang'yong 查良镛
'shen'shen'de 深深地
'qing'qing'de 轻轻地
'qiao'qiao'de 悄悄地
'san'ren'xing 三人行
'hen'hen'de 狠狠地
'cheng'gong'de 成功地
'mo'mo'de 默默地
'qing'xi'de 清晰地
'jin'jin'de 紧紧地
'you'xiao'de 有效地
'xing'fen'de 兴奋地
'wu'nai'de 无奈地
'xun'su'de 迅速地
'geng'duo'de 更多地
'ji'dong'de 激动地
're'qing'de 热情地
'qing'song'de 轻松地
'wen'rou'de 温柔地
'nu'li'de 努力地
'yuan'yuan'de 远远地
'ming'xian'de 明显地
'huan'huan'de 缓缓地
'qing'yi'de 轻易地
'ji'ji'de 积极地
'shen'ke'de 深刻地
'zhun'que'de 准确地
'tong'ku'de 痛苦地
'bo'la'tu 柏拉图
'kai'xin'de 开心地
'hao'qi'de 好奇地
'qiao'miao'de 巧妙地
'zi'you'de 自由地
'da'da'de 大大地
'chi'jing'de 吃惊地
'yan'su'de 严肃地
'wan'mei'de 完美地
'ming'que'de 明确地
'lao'lao'de 牢牢地
'ji'shi'de 及时地
'wu'qing'de 无情地
'chong'fen'de 充分地
'da'dan'de 大胆地
'leng'jing'de 冷静地
'che'di'de 彻底地
'you'li'de 有力地
'wei'wei'de 微微地
'xing'yun'de 幸运地
'yong'de'zhao 用得着
'zheng'que'de 正确地
'qin'qie'de 亲切地
'fang'bian'de 方便地
'bu'an'de 不安地
'fen'nu'de 愤怒地
'yu'kuai'de 愉快地
'bai'she'zhuan 白蛇传
'jian'jue'de 坚决地
'quan'mian'de 全面地
'gu'du'de 孤独地
'jiao'ao'de 骄傲地
'shi'fang'shi 什邡市
'ke'guan'de 客观地
'jing'kong'de 惊恐地
'ken'ding'de 肯定地
'mang'mu'de 盲目地
'gong'jing'de 恭敬地
'he'li'de 合理地
'jian'qiang'de 坚强地
'gao'gao'de 高高地
'jin'qing'de 尽情地
'zhu'jian'de 逐渐地
'xi'xin'de 细心地
'zi'hao'de 自豪地
'shang'xin'de 伤心地
'jian'jie'de 间接地
'jin'mi'de 紧密地
'ren'wei'de 人为地
'ji'xie'de 机械地
'min'rui'de 敏锐地
'qi'fen'de 气愤地
'tan'lan'de 贪婪地
'tiao'pi'de 调皮地
'guo'duan'de 果断地
'chi'xu'de 持续地
'an'an'de 暗暗地
'zhi'jie'de 直接地
'zhong'xin'de 衷心地
'tan'ji'ta 弹吉他
'yong'tan'diao 咏叹调
'wan'quan'de 完全地
'tong'kuai'de 痛快地
'wen'ding'de 稳定地
'bai'bai'de 白白地
'tong'yang'de 同样地
'ju'sang'de 沮丧地
'meng'lie'de 猛烈地
'hu'luan'de 胡乱地
'yan'li'de 严厉地
'fang'si'de 放肆地
'cu'bao'de 粗暴地
'yan'ge'de 严格地
'ling'huo'de 灵活地
'jing'que'de 精确地
'jing'yi'de 惊异地
'xi'guan'de 习惯地
'kai'xiao'chai 开小差
'guan'qie'de 关切地
'zhi'guan'de 直观地
're'qie'de 热切地
'leng'mo'de 冷漠地
'bao'qian'de 抱歉地
'su'zhou'shi 宿州市
'bi'zhi'de 笔直地
'man'man'de 满满地
'man'zu'de 满足地
'cong'mang'de 匆忙地
'shun'cong'de 顺从地
'hao'yi'de 好意地
're'xin'de 热心地
'xiang'fan'de 相反地
'wei'nan'de 为难地
'lou'yi'shou 露一手
'zang'hong'hua 藏红花
'jing'chang'de 经常地
'xian'mu'de 羡慕地
'fan'de'zhao 犯得着
'nan'guo'de 难过地
'han'xu'de 含蓄地
'cu'lue'de 粗略地
'di'sheng'de 低声地
'pian'mian'de 片面地
'qie'shi'de 切实地
'zhi'niu'de 执拗地
'wu'chi'de 无耻地
'ou'ran'de 偶然地
'jia'bei'de 加倍地
'ling'qiao'de 灵巧地
'yi'zhi'de 一致地
'kuai'huo'de 快活地
'bian'zheng'de 辩证地
'zhen'jing'de 镇静地
'ken'qie'de 恳切地
'gu'yi'de 故意地
'tuo'shan'de 妥善地
'chen'tong'de 沉痛地
'zang'qing'se 藏青色
'chang'she'fu 长舌妇
'xiu'qie'de 羞怯地
'gu'ding'de 固定地
'ji'ju'de 急剧地
'fa'chong'le 发重了
'shu'de'zhao 数得着
'chong'ding'xiang 重定向
'chang'ge'shi 长葛市
'ji'zhuan'ti 纪传体
'ge'bie'de 个别地
'huang'deng'deng 黄澄澄
'huo'xi'ni 和稀泥
'qing'fu'de 轻浮地
'chang'tong'xue 长筒靴
'shuang'kuai'de 爽快地
'zi'ran'de 自然地
'hen'kuai'de 很快地
'geng'hao'de 更好地
'xiao'sheng'de 小声地
'da'sheng'de 大声地
'qing'chu'de 清楚地
'ji'da'de 极大地
'jian'ding'de 坚定地
'tou'tou'de 偷偷地
'feng'kuang'de 疯狂地
'yong'gan'de 勇敢地
'yi'wai'de 意外地
'huan'man'de 缓慢地
'ao'nao'de 懊恼地
'cao'cao'de 草草地
'xi'tong'de 系统地
'you'xian'de 悠闲地
'qian'cheng'de 虔诚地
'he'ai'de 和蔼地
'pin'fan'de 频繁地
'shun'li'de 顺利地
'ben'neng'de 本能地
'nai'xin'de 耐心地
'xiao'xin'de 小心地
'zhu'dong'de 主动地
'shen'ru'de 深入地
'li'mao'de 礼貌地
'wan'qiang'de 顽强地
'guang'fan'de 广泛地
'chi'yi'de 迟疑地
'yi'di'xie 一滴血
'jian'nan'de 艰难地
'le'guan'de 乐观地
'bu'xie'de 不懈地
'shu'lian'de 熟练地
'guai'guai'de 乖乖地
'dong'tai'de 动态地
'lao'gu'de 牢固地
'mi'mi'de 秘密地
'jian'yao'de 简要地
'min'jie'de 敏捷地
'bei'shang'de 悲伤地
'yu'chun'de 愚蠢地
'hua'ji'de 滑稽地
'tu'lao'de 徒劳地
'you'zhong'de 由衷地
'an'quan'de 安全地
'yi'han'de 遗憾地
'jiao'ji'de 焦急地
'gong'kai'de 公开地
'jing'po'hu 镜泊湖
'jing'ya'de 惊讶地
'ming'zhi'de 明智地
'zhuang'yan'de 庄严地
'gu'zhi'de 固执地
'xiao'ji'de 消极地
'xing'fu'de 幸福地
'wan'gu'de 顽固地
'dan'xin'de 担心地
'yuan'man'de 圆满地
'jing'qi'de 惊奇地
'fan'fu'de 反复地
'can'ren'de 残忍地
'te'yi'de 特意地
'leng'leng'de 冷冷地
'de'yi'de 得意地
'man'yi'de 满意地
'chi'li'de 吃力地
'qing'mie'de 轻蔑地
'ao'man'de 傲慢地
're'lie'de 热烈地
'bei'lie'de 卑劣地
'cai'yi'de 猜疑地
'han'hu'de 含糊地
'jiao'hua'de 狡猾地
'ju'lie'de 剧烈地
'ti'mian'de 体面地
'jian'rui'de 尖锐地
'su'song'xian 宿松县
'ren'zhen'de 认真地
'wu'zhu'de 无助地
'yan'se'hu 堰塞湖
'su'qian'shi 宿迁市
'zeng'qing'hong 曾庆红
'zhang'bo'zhi 张柏芝
'wu'li'de 无力地
'li'chang'hao 李昌镐
'zeng'bao'yi 曾宝仪
'liao'ru'zhi'zhang 了如指掌
'shen'chu'gui'mo 神出鬼没
'zen'me'de'liao 怎么得了
'xing'zhi'you'xiao 行之有效
'shi'bu'shi'de 时不时地
'mei'wan'mei'liao 没完没了
'chang'ci'yi'wang 长此以往
'du'duan'zhuan'xing 独断专行
'shi'zai'bi'xing 势在必行
'shen'wu'tong'jue 深恶痛绝
'nan'shui'bei'diao 南水北调
'shen'ti'li'xing 身体力行
'ling'xing'jin'zhi 令行禁止
'wei'yu'chou'mou 未雨绸缪
'hao'jing'bu'chang 好景不长
'chang'zhi'jiu'an 长治久安
'wo'xing'wo'su 我行我素
'shen'shi'duo'shi 审时度势
'yi'shi'zhu'xing 衣食住行
'qu'chang'bu'duan 取长补短
'jian'xing'jian'yuan 渐行渐远
'gong'bu'ke'mo 功不可没
'ke'shi'mi'er 克什米尔
'tian'ma'xing'kong 天马行空
'yang'chang'bi'duan 扬长避短
'quan'jun'fu'mo 全军覆没
'you'zhao'yi'ri 有朝一日
'yu'zhong'xin'chang 语重心长
'ren'tou'cuan'dong 人头攒动
'ting'er'zou'xian 铤而走险
'li'xing'jie'yue 厉行节约
'jian'dan'yi'xing 简单易行
'zhi'jie'liao'dang 直截了当
'xing'yun'liu'shui 行云流水
'xi'shui'chang'liu 细水长流
'zhao'hua'xi'shi 朝花夕拾
'zhong'shi'zhi'di 众矢之的
'chou'ming'zhao'zhu 臭名昭著
'mao'se'dun'kai 茅塞顿开
'jia'chang'li'duan 家长里短
'you'di'fang'shi 有的放矢
'gui'shi'shen'chai 鬼使神差
'shui'diao'ge'tou 水调歌头
